date,pc,sign,ticker,loading
2025-12-01,PC1,positive,IWD,0.1744543894188916
2025-12-01,PC1,positive,VTI,0.1740780924685338
2025-12-01,PC1,positive,QUAL,0.1739455787135056
2025-12-01,PC1,positive,IVV,0.1730786937293487
2025-12-01,PC1,positive,SPY,0.172909709936149
2025-12-01,PC1,positive,VYM,0.1727554418863181
2025-12-01,PC1,positive,DIA,0.17106414980861853
2025-12-01,PC1,positive,VTV,0.17105095848928084
2025-12-01,PC1,negative,SHY,-0.0007553733964565532
2025-12-01,PC1,negative,IEF,0.013103196780708199
2025-12-01,PC1,negative,GLD,0.025297053427645953
2025-12-01,PC1,negative,TLT,0.04044035830099027
2025-12-01,PC1,negative,BND,0.044908299619928406
2025-12-01,PC1,negative,TIP,0.04598381270693791
2025-12-01,PC1,negative,MUB,0.062447550470903036
2025-12-01,PC1,negative,XLP,0.09045778728310133
2025-12-01,PC2,positive,IEF,0.38345728747523944
2025-12-01,PC2,positive,BND,0.37337973384280937
2025-12-01,PC2,positive,TIP,0.3485516152978515
2025-12-01,PC2,positive,TLT,0.34809104162775345
2025-12-01,PC2,positive,SHY,0.32403415103533784
2025-12-01,PC2,positive,LQD,0.3160140622015861
2025-12-01,PC2,positive,MUB,0.29448875943798675
2025-12-01,PC2,positive,EMB,0.19393154631838114
2025-12-01,PC2,negative,XLK,-0.10777029061567929
2025-12-01,PC2,negative,VUG,-0.09840193641039835
2025-12-01,PC2,negative,QQQ,-0.09688757748446467
2025-12-01,PC2,negative,IWF,-0.09687783767302503
2025-12-01,PC2,negative,MTUM,-0.07763472050769277
2025-12-01,PC2,negative,IVV,-0.06816899142382465
2025-12-01,PC2,negative,SPY,-0.0657705476642065
2025-12-01,PC2,negative,VTI,-0.06440390748509567
2025-12-01,PC3,positive,XLP,0.20002159700915717
2025-12-01,PC3,positive,DVY,0.1799851597745642
2025-12-01,PC3,positive,XLF,0.17986194359153446
2025-12-01,PC3,positive,USMV,0.162245454089776
2025-12-01,PC3,positive,VTV,0.16146391877267205
2025-12-01,PC3,positive,XLV,0.15126676993213398
2025-12-01,PC3,positive,IWD,0.13997176551084148
2025-12-01,PC3,positive,XLE,0.13522576997018704
2025-12-01,PC3,negative,FXI,-0.3216325325057573
2025-12-01,PC3,negative,VWO,-0.31661271275651004
2025-12-01,PC3,negative,EEM,-0.31185017478688953
2025-12-01,PC3,negative,IEMG,-0.3092966990478838
2025-12-01,PC3,negative,GLD,-0.2883988106135946
2025-12-01,PC3,negative,VXUS,-0.221193711665238
2025-12-01,PC3,negative,VEA,-0.17186911779744354
2025-12-01,PC3,negative,EWG,-0.16844860343623802
2025-12-01,PC4,positive,XLP,0.35559966901936785
2025-12-01,PC4,positive,XLV,0.23079074339665112
2025-12-01,PC4,positive,EWU,0.22897804505601382
2025-12-01,PC4,positive,GLD,0.20640908819486273
2025-12-01,PC4,positive,USMV,0.19991579851090185
2025-12-01,PC4,positive,XLU,0.1812256080192413
2025-12-01,PC4,positive,VNQ,0.17954844127004274
2025-12-01,PC4,positive,DVY,0.1463804433898867
2025-12-01,PC4,negative,XLK,-0.24039521332790975
2025-12-01,PC4,negative,IWF,-0.23997222112100194
2025-12-01,PC4,negative,VUG,-0.23672485010656227
2025-12-01,PC4,negative,QQQ,-0.2212596869689
2025-12-01,PC4,negative,XLY,-0.1724507317250486
2025-12-01,PC4,negative,MTUM,-0.1619764808360687
2025-12-01,PC4,negative,TLT,-0.14966294099805127
2025-12-01,PC4,negative,EMB,-0.13891628364455844
2025-12-01,PC5,positive,FXI,0.47228052520110037
2025-12-01,PC5,positive,VWO,0.21593345970498867
2025-12-01,PC5,positive,EEM,0.1852773277252307
2025-12-01,PC5,positive,IEMG,0.16986007196867006
2025-12-01,PC5,positive,MUB,0.1642216939172822
2025-12-01,PC5,positive,XLE,0.14789564019226753
2025-12-01,PC5,positive,BKLN,0.14381684325658925
2025-12-01,PC5,positive,XLB,0.11891723431365328
2025-12-01,PC5,negative,GLD,-0.3776312637650474
2025-12-01,PC5,negative,EWG,-0.2488529777242653
2025-12-01,PC5,negative,EWJ,-0.22683542109257776
2025-12-01,PC5,negative,XLU,-0.205840803774498
2025-12-01,PC5,negative,MTUM,-0.19812128905599405
2025-12-01,PC5,negative,SHY,-0.17460894189766668
2025-12-01,PC5,negative,EFA,-0.17087143329648802
2025-12-01,PC5,negative,VEA,-0.16568981759609216
