,BKLN,BND,DIA,DVY,EEM,EFA,EMB,FXI,GLD,HYG,IEMG,IVV,IWM,MDY,MTUM,MUB,QQQ,QUAL,SHY,SPY,TIP,TLT,USMV,VEA,VLUE,VNQ,VTI,VTV,VUG,VWO,VXUS,VYM,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,EWG,EWJ,EWU,IEF,IJR,IWD,IWF,LQD
2015-02-02,0.24413781630608025,-3.7479650212346746e-17,-1.1511201026248966e-17,-0.2893279077680662,-1.0565726059481153e-17,1.3653436843485335e-17,7.571742608691025e-17,-5.572976853482444e-17,1.2824236311093737,8.82595328183858e-17,6.128690523009538e-18,-5.5267923792615216e-18,-9.861486536419484e-17,-4.017400700442968e-17,-5.2599525820768104e-17,-6.092987850288124e-17,-4.808854571341378e-17,-1.345630716607805e-17,-6.01184338568778e-17,-6.281545251594995e-18,-2.0427132614177698e-17,2.134507265166671e-18,4.4879444578384565e-17,2.0430615557178035e-17,-2.4544131011459133e-17,2.3614452038265922e-17,-1.2745188991179025e-17,-5.510429330361109e-18,-2.0827609343161102e-17,-1.7836546961922947e-17,3.2607531522398554e-17,2.185813043489775e-17,-4.1821714434446925e-17,-5.596397655649928e-17,0.22343855258454595,-5.2090239915003867e-17,-3.202745917788862e-17,2.5815841999086023e-17,4.7622260576960254e-17,-4.586755328417013e-17,-6.351162015553855e-17,-4.981029501887908e-17,-3.79865233459581e-17,-3.514901589854756e-18,-4.673347350066985e-17,-8.925559016678423e-17,-6.2621258726080815e-18,-1.491708580022118e-17,-0.4606720922319332
2015-03-02,4.696763791514237e-21,-4.7129612400914035e-21,1.1624222459963073e-21,-5.7391192892395215e-21,-5.005104482584773e-21,-4.0525281581826106e-21,-3.7803567172976266e-21,1.4742415419417377e-21,1.24181868088953,-2.105500989841911e-22,-5.727488745649889e-21,-8.669410592870068e-23,3.734564888364507e-21,1.2120133740265013e-21,1.0139594595120449e-21,1.7237778001666264e-21,2.061613941656303e-21,1.299525014655562e-21,-1.4509590586803005e-21,-1.6504228164563254e-24,-3.221183700646565e-21,1.9783565244046944e-21,-3.019811163496398e-21,-4.4450755518982984e-21,4.886829715120246e-21,-4.680610824587445e-21,2.307634835109368e-22,1.6362522066125456e-22,4.1895537119897274e-22,-5.0796951732226514e-21,-0.3705339105350396,-1.3222900602243557e-21,6.552889321629953e-22,3.564799450669755e-21,0.5081813191104702,1.8045185198948844e-21,2.0085908215031366e-21,5.577962219932307e-23,-5.7749053765308465e-21,2.150997144335962e-21,4.3070491531502726e-21,-2.0626630460441657e-21,2.7819333007830973e-21,-2.466181587983999e-21,-1.1107593727688976e-21,3.809831697740325e-21,-2.3004114151548926e-22,7.362200163205931e-22,-0.3794660894649604
2015-04-01,1.295220452723014,9.104230782616825e-07,-1.9598887918166348e-07,-0.49840438125485503,1.0376704355536197e-06,1.1853877601495858e-06,7.972598640365264e-07,-1.0693367298943495e-06,0.61233682923764,-9.292709572816623e-08,1.210660253409395e-06,2.0333300300591347e-08,-1.3567203879586454e-06,-4.4128352164689304e-07,-4.433027845811072e-07,-6.430368148792837e-07,-8.538759123133216e-07,-3.7287837292268745e-07,-4.4211332542537233e-08,1.370362938375723e-08,5.664482108107853e-07,-5.49532785879115e-07,9.496925302638522e-07,1.290377612565158e-06,-1.0770353152595696e-06,1.1797262938616596e-06,-1.0401327837070693e-07,4.080325949530602e-08,-4.0483940947652167e-07,1.0276794637283495e-06,-0.3376882304945777,3.522801119563981e-07,-3.826882448129389e-07,-1.1076334341384193e-06,0.09239819577470079,-6.331663409432373e-07,-6.937135986367443e-07,5.198927250120159e-08,1.5171943954507125e-06,-6.616546953601551e-07,-1.2605442945237175e-06,3.641224824182136e-07,-8.714983050807439e-07,8.826225381337323e-07,1.6231203724546094e-07,-1.2602693335895492e-06,1.62133418480152e-07,-2.939199376655516e-07,-0.1638617645304893
2015-05-01,1.3897808108384417,8.825431747179307e-15,-9.268890680977603e-16,-0.11776934721170057,1.0312173880272898e-14,1.3159946577219232e-14,6.850287259042354e-15,0.13953287092430045,0.4302836704732424,-2.261512981451173e-15,1.1251785101186434e-14,1.3090450805058061e-15,-8.122871445139165e-15,-2.037748438987268e-15,-1.1063646650538209e-15,-3.996059034358766e-15,-3.750223335942823e-15,-1.753505903131218e-15,2.522621029851328e-16,1.1755405595786592e-15,4.178287599651696e-15,-5.8009275636141834e-15,8.522679854342938e-15,1.4030653701248164e-14,-8.540887941098595e-15,1.016012921932306e-14,7.516651303617289e-16,1.5127351054340915e-16,-1.9552378679451871e-16,9.850134582772728e-15,-0.8275296024721084,2.32567681657878e-15,-2.6959750923538262e-15,0.011842158365188078,0.028560489398441642,-4.817223997671194e-15,-3.808814683185607e-15,4.890199201646805e-16,8.612903635322688e-15,-4.090622725374484e-15,-7.839034495230826e-15,6.577969254216979e-15,-3.3819732123130193e-15,9.49748376545471e-15,2.0906475421213154e-15,-7.66102143232564e-15,1.6966100068002932e-15,-6.199786783647526e-16,-0.05470105031577306
2015-06-01,1.3474076156409134,3.562319562520611e-15,4.292787952850872e-16,-0.2746122014343519,4.313250788348194e-15,5.4960692489824715e-15,1.9556732712022365e-15,0.1422162949105606,0.4133979062453049,-9.354997258081458e-16,4.743327039688092e-15,1.3086016143345971e-15,-2.9289051455970862e-15,-5.324280323072164e-16,5.418278598498813e-16,-2.1004934935249805e-15,-5.385291577924854e-16,8.436850264997696e-17,-2.0782879526167964e-16,1.2504828284526202e-15,1.4186840309317446e-15,-2.9128866275616086e-15,4.4792299306325166e-15,5.89059002555067e-15,-2.875237616230512e-15,5.851355299452531e-15,1.0523873449355085e-15,7.750122196647163e-16,5.663876475885963e-16,4.178815455729299e-15,-0.7183365194810089,1.705174459819948e-15,-6.709685956018711e-16,0.03042373712463508,0.06655444607841228,-1.5491697328555597e-15,-5.315814336424276e-16,1.120259767244747e-15,4.934225373282052e-15,-1.1086345713176699e-15,-2.5528411036675237e-15,2.7737791477191886e-15,-1.003164057450547e-15,3.705191005517753e-15,7.766385370905317e-16,-2.6135090505209877e-15,1.277023669643553e-15,5.329369818915994e-16,-0.0070512790844662375
2015-07-01,0.8731628666904474,-2.3377618705234092e-20,-2.556880850356324e-21,-0.5403009367920504,-1.7526830974980854e-20,-1.8510817829341433e-20,-1.6818597415794548e-20,2.187307483110891e-20,1.1268371333095528,-4.610414445329702e-21,-1.9724634403921965e-20,-7.001953551517674e-21,1.6426115617970867e-20,1.7012466186048576e-21,-4.269465613465618e-21,2.499912943614669e-21,1.4106019772893003e-21,-2.9846396103897864e-21,-5.3003818597582984e-21,-7.055827589321617e-21,-1.295711315393789e-20,4.284719450743202e-21,-2.3361680197984075e-20,-2.0425316807914294e-20,1.0132327497638801e-20,-2.898723781604261e-20,-5.647719193978613e-21,-5.180716987716038e-21,-2.952604557362611e-21,-1.7820833898445975e-20,-2.430272373116195e-20,-1.0789354276077786e-20,8.56324161009794e-22,2.0874204673719736e-20,2.4886349458723127e-20,5.949780707755306e-21,1.1664659950141648e-21,-8.79885942726469e-21,-2.9607946182581854e-20,4.428231935483004e-21,1.0631721631415216e-20,-1.6798616960462632e-21,7.714851621106191e-21,-1.4799138678499844e-20,-1.0486271666474054e-20,1.5428444802873103e-20,-7.069965878805458e-21,-3.515064581316365e-21,-0.45969906320794973
2015-08-03,1.121377756498921,-2.1699735520391977e-15,2.2211678539075173e-16,-0.737530341298983,-8.785382290895044e-16,-1.181719962554064e-15,-1.3757030902254455e-15,0.1501905637919114,0.7284316797092648,-7.423765630640003e-18,-8.886728213543754e-16,-3.470680398975261e-16,1.9009123333356462e-15,4.1812253425371955e-16,-1.5734105470968116e-16,4.731572451000785e-16,5.260819223147614e-16,6.909429166262308e-17,-5.181529410672943e-16,-3.7310174521693534e-16,-1.5678779787617946e-15,4.321063657386417e-16,-2.503150849795686e-15,-1.3482584301055068e-15,1.7336750261890496e-15,-0.04051971854452484,-2.555197489770256e-16,1.7738716510523486e-17,-1.0902861379050463e-16,-8.867026795904963e-16,-1.6931538452799064e-15,-6.68481718965886e-16,1.067789813345522e-15,3.841671032456585e-15,3.246811263264226e-15,1.186104722579897e-15,6.80272387860587e-16,-7.316474719434697e-16,-0.062155063251425224,5.715311538955244e-16,1.3537137497092959e-15,4.526082040733097e-16,1.2859863550003985e-15,-7.580273011047586e-16,-1.137506870002759e-15,1.834281071126207e-15,-2.7295031729706964e-16,-6.553834539926871e-17,-0.1597948769051864
2015-09-01,3.101297400833044e-05,-2.5036644830491895e-05,1.582539967363384e-05,-6.1958733336488814e-06,1.235543300381731e-05,1.1908219154008295e-05,-1.5909029953883176e-06,0.06407243520975557,1.686729260267835,1.5021417357863241e-05,1.2795976605768575e-05,1.25724298790914e-05,2.649544691680093e-05,1.716913133910867e-05,1.3509676053801362e-05,-1.2610960835989388e-05,1.7602105768072305e-05,1.493860885729876e-05,-1.0083776325022752e-05,1.2282658108973006e-05,-2.2646983673748294e-05,-8.517721244138044e-06,-7.067038534671928e-07,1.0882501185069298e-05,2.328844170028909e-05,-1.695380998326318e-05,1.3531928350203814e-05,1.407743283746476e-05,1.402970451172605e-05,1.2092751727864707e-05,8.66997934181186e-06,9.874767381840066e-06,2.0929580553022386e-05,3.085917966910787e-05,3.128565817015079e-05,2.1109295332036032e-05,1.7660405859426908e-05,8.230513783482384e-06,-1.9164248544025047e-05,1.6162444678348043e-05,2.098725633050935e-05,2.5654379691598636e-05,2.1240998199385264e-05,1.1480173664251122e-05,-1.7696984250156114e-05,2.5971258909092993e-05,1.2475962835690397e-05,1.4654337098373006e-05,-0.7512598185942208
2015-10-01,4.575974931180649e-16,-3.90360049616337e-16,7.895389353558437e-17,-3.9537824844597325e-16,2.510280114575163e-17,-2.061460113394763e-17,-1.434838815463999e-16,0.11470163232558932,1.635298367674425,6.931043966458685e-17,3.554085570832395e-17,-1.0099006976002657e-17,2.493824234552775e-16,8.979969103423437e-17,1.4934078183333388e-17,-1.262809632410504e-16,9.276563078542376e-17,2.5143887600063496e-17,-1.4853570562583277e-16,-1.4121712788489153e-17,-4.1499119708695977e-16,1.0469205766853876e-17,-2.554480849630878e-16,-3.3379198392374946e-17,1.9681106669150508e-16,-0.043681316486334935,5.919177369131211e-18,2.3247393875647407e-17,2.0978746681050684e-17,2.180262625108922e-17,-7.700509579252865e-17,-6.446020688339459e-17,1.379055013963855e-16,3.596627904274872e-16,4.252061323395922e-16,1.6572074241860388e-16,1.1761488515884963e-16,-5.564598269711599e-17,-0.08436879459251652,6.870352438138501e-17,1.696469478747362e-16,2.8668360633373137e-16,2.2527109922636136e-16,-2.607797814594474e-17,-2.17497158966196e-16,2.5756241749091404e-16,-1.4279082725474159e-18,2.587710996207893e-17,-0.621949888921167
2015-11-02,0.9307815753496924,-1.4573595710397453e-15,3.643725805942753e-16,-0.6699211506430413,1.6825039906427296e-16,1.2299911352614266e-16,-1.3707341985513912e-15,0.042148232939335395,0.7373777702288166,-7.882963358111167e-16,1.5414257376799146e-16,1.8839550999730568e-16,6.753420024074434e-16,2.641271350211276e-16,6.807038101858457e-17,-1.1293913555266977e-15,3.4023537891308874e-16,1.9342932679530207e-16,-9.85158195100216e-16,1.6504505350863353e-16,-1.6623595247898188e-15,-1.420259154686876e-15,-5.295014351592625e-16,5.959099295802533e-17,4.881230317854257e-16,-0.3300788493569808,1.6963928494979695e-16,3.3961009230254456e-16,1.3460494124001382e-16,1.940596508480459e-16,-1.8879056304447964e-17,5.9414678254384e-17,6.333309226687916e-16,1.5593406422232188e-15,0.2896924214821772,4.761201017940365e-16,5.473157015082046e-16,-2.6510818698559407e-16,-9.524042239286041e-16,3.7486143370492674e-16,3.1265183078016187e-16,9.017832223597122e-16,6.340778900249207e-16,3.3020102293186223e-16,-1.28017067045678e-15,7.143937911706446e-16,2.962978480256347e-16,9.71472147329138e-17,-1.9063784888181557e-15
