,BKLN,BND,DIA,DVY,EEM,EFA,EMB,FXI,GLD,HYG,IEMG,IVV,IWM,MDY,MTUM,MUB,QQQ,QUAL,SHY,SPY,TIP,TLT,USMV,VEA,VLUE,VNQ,VTI,VTV,VUG,VWO,VXUS,VYM,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,EWG,EWJ,EWU,IEF,IJR,IWD,IWF,LQD
2015-02-02,-0.00798198742243593,0.06696111074782429,-0.020296307701593224,0.0029841316093603904,0.00431128314223836,-0.004904492875812302,0.023003258821123626,-0.004450453481896859,0.016109591982128024,0.0002753705034981096,0.005606880860166441,-0.017418964595656884,-0.020279080536117072,-0.01929788752829931,-0.017794151349931397,0.044504516349438264,-0.01830018096492638,-0.02084100163239698,0.050140863289102035,-0.017710345272016204,0.06296339592021925,0.05277845267749893,-0.008566825167688542,-0.003838209882186754,-0.020963456447854443,0.014923898961561958,-0.018196424852528193,-0.017528476350584986,-0.01748222747645099,0.003877261912263957,4.544663537816606e-05,-0.013452215100454685,-0.012470002791170724,-0.012389775405692338,-0.0291387940639928,-0.02099267379200897,-0.018751904192335515,-0.009743780664113981,0.023882055059123622,-0.016321203632805672,-0.025797034362536036,-0.009158740415964112,-0.012600239150423357,-0.005998498072385137,0.061016269041864316,-0.021542472677144844,-0.017388046171320105,-0.018404145969275303,0.06661621248721028
2015-03-02,-0.010060161839039976,0.06256240393276694,-0.02034586024137424,0.004374349128048436,0.008350776721603214,-0.0012225725987809936,0.020463927611993074,-0.0010828019884630345,0.017631258527631408,-0.004081818368553003,0.009641859684311702,-0.018179792609808676,-0.02243909501025937,-0.019449216590423965,-0.01811971313865787,0.04357794066147739,-0.019854816882004342,-0.020605197012482878,0.04988974262953162,-0.01843189466261363,0.0574251933536202,0.04902788452728233,-0.007255892289932244,-0.00010844793271402509,-0.024128399430177326,0.018916606330607617,-0.019116635770998966,-0.01817033198394843,-0.018438916071469597,0.008286670694926229,0.003351381110920039,-0.013675910373510076,-0.014376634113031906,-0.014136125933454445,-0.030698480794637526,-0.020275772310992465,-0.019939502863632677,-0.007849266953147057,0.02719832497418398,-0.016808506328061232,-0.02600418288201268,-0.0027291731617217537,-0.010070498085094273,-0.002536377863832832,0.057384585808006296,-0.022793868322021762,-0.017331749200785923,-0.01968238639236097,0.061917094303089525
2015-04-01,-0.01099277576923053,0.06256639395032051,-0.018502788252450476,0.0036862889288276214,0.0048406092730097754,-0.0011097329178040814,0.020724287856903542,-0.00589673395286831,0.02124886688245811,-0.004790904574137533,0.0055348593875864235,-0.01818095394420392,-0.02347664798800453,-0.019948858066673132,-0.018909377954931923,0.04713195796230567,-0.021722337808747955,-0.020525436464151725,0.05093507814074615,-0.01826644790160336,0.05788835208251693,0.05311630812648109,-0.006529830223074763,-0.00015315840284466656,-0.020479404300657204,0.017909950197128006,-0.019433170848909012,-0.017192918325044052,-0.019966910047270334,0.004546515479268312,0.002072083995845435,-0.014097166623324855,-0.0158471163469615,-0.01350254239979093,-0.028386228759315863,-0.02053663119990036,-0.020125041293979348,-0.006518226692549042,0.02668467713913605,-0.01632374212480855,-0.025239237436647556,-0.003998916693535676,-0.009613393254524719,-0.00029403367478772794,0.06020187631677642,-0.022755280589318992,-0.016360068152799008,-0.020323987015148485,0.06091189428068999
2015-05-01,-0.012628870904860052,0.06361002671628908,-0.019679089698147436,0.001822699428868203,0.004253584177126871,-6.143078289771608e-05,0.019815302703434515,-0.00899522772281776,0.02228949959531582,-0.0058682984626307645,0.004715918809992849,-0.018606655607692014,-0.02135613206588122,-0.019537632610899996,-0.017995375321220298,0.04778255454380718,-0.019974315014934293,-0.02038095301227754,0.051219188908000514,-0.018766762257233248,0.058502328714794966,0.05451038803607734,-0.007163267880629242,0.000947580834127411,-0.021123979696258552,0.01781193212930478,-0.019352786818687632,-0.018869293614588955,-0.017212476111555713,0.0033971609352372607,0.0025519286840411516,-0.01574125401179908,-0.015454222754272648,-0.01482881471647236,-0.029838723644268206,-0.021443307150056736,-0.019712638778425298,-0.007658620262713172,0.023780378857338504,-0.01565024333410099,-0.02366015393974252,-0.0027964402601908305,-0.006717016709625327,-0.000410121549604725,0.061729465861821105,-0.021041668853114173,-0.017553902975594088,-0.019920323476807323,0.06126006106442245
2015-06-01,-0.014404197672867792,0.06466903472344582,-0.01957825035674807,0.00019415222608836096,0.0030042214570784064,-0.0010548956829529769,0.018654501195537423,-0.007713076334918941,0.02259708967057973,-0.00467426591013103,0.003574227527010982,-0.018547662673738655,-0.021909999454309787,-0.020593511701387103,-0.017468605870311484,0.04917394299632966,-0.01884486580542712,-0.020071913466382898,0.05233534105976853,-0.018697601060276858,0.05975214430786912,0.0565256635096638,-0.007200667877111048,6.739663432883253e-05,-0.02082982610302175,0.018216511240553863,-0.019321638397417344,-0.01909553373109332,-0.017010950615882172,0.0024459340730161277,0.0014801323157755133,-0.015771205457800922,-0.015025039151904392,-0.013873538355653478,-0.03063097580417255,-0.021887165653278133,-0.018542300618942208,-0.007299773870324704,0.021772060647534765,-0.01642038412516719,-0.022537431604066665,-0.004263165311186714,-0.006017195019073674,-0.001661320096086004,0.06338414556312628,-0.021394749078383974,-0.018191241918907686,-0.019467051221073246,0.06215350085229279
2015-07-01,-0.01366448220514753,0.0647260352751524,-0.01856028803272979,0.0011314615453571148,0.0008103789545504548,-0.004299038989932972,0.01968477057661562,-0.008463277902889843,0.022604742474479998,-0.0028930519198305522,0.0013935281598844032,-0.017765564654342005,-0.02334679410460911,-0.019943832194291966,-0.016031829499177242,0.05030886329304036,-0.018118005741743843,-0.018296292230450144,0.052143985632519874,-0.017699631931186455,0.05953563922448949,0.056704802567612754,-0.005553876456442759,-0.003362415445269212,-0.01932134762116978,0.02017834521085794,-0.01860819376726799,-0.017971731792260928,-0.016921768705267005,0.0008371587040989705,-0.0019425355923140062,-0.014329172330105413,-0.014696500175866246,-0.014727491725140348,-0.03140379265824639,-0.02099854437148356,-0.017362813333039875,-0.00556191654167116,0.024089614375807436,-0.015960013005294697,-0.02249390791151973,-0.009114983642984187,-0.009159494536773975,-0.0024318126475775807,0.06312021429691815,-0.02282601953404385,-0.01719584377320515,-0.018973735026724583,0.06273045970861502
2015-08-03,-0.013369374028336775,0.06457596497302366,-0.018212698405593707,0.002145777153815752,-0.0014894283541865916,-0.005538829772683856,0.017927408012218357,-0.013265231262605698,0.020428701724922022,-0.002939937659498396,-0.0018751392812483515,-0.01696152455894575,-0.021931026722887156,-0.018757555078484815,-0.015331089222642405,0.050511210175771315,-0.016823690850669287,-0.01739198484176981,0.05304425002647977,-0.01683524771084779,0.06032371596672644,0.05614094854815411,-0.004384101074224298,-0.004764814910438433,-0.019485631667048826,0.022046280578907607,-0.017686651928219832,-0.01774171915269376,-0.01567226766502459,-0.0018484873700591934,-0.003606022216813717,-0.013879855547377334,-0.016334303195800103,-0.015467468365046203,-0.030780302639358954,-0.020452291578937038,-0.01678964099840723,-0.005623912603053362,0.02604368111474215,-0.014211022457037785,-0.02108746083093469,-0.010112517248795088,-0.009899298892590004,-0.0032818123340879785,0.06324171519423016,-0.021577624918696466,-0.016675149258106203,-0.017914885396848615,0.06357034653100864
2015-09-01,-0.013093779889746969,0.06438076488339631,-0.016522398350607485,0.002365440091221697,-0.0063397757560101405,-0.009381041365319141,0.01571164022491829,-0.014585579383631598,0.019621316421999074,-0.005681714985283306,-0.007127110996087614,-0.015054065329151248,-0.019938041202933434,-0.016593311003993857,-0.013949353272610933,0.0529007209365609,-0.016148209983454953,-0.015601767774461532,0.051388245609313855,-0.014836217532096616,0.06041111145130378,0.05693038358806886,-0.003459451782633108,-0.00896591534869886,-0.017635357934196554,0.022845713996531684,-0.01578224876428058,-0.015617650444871716,-0.014429185195039737,-0.006422760993938433,-0.007759577706637913,-0.012360088440541905,-0.01605268056459363,-0.014484484362257875,-0.026220267654144667,-0.01911154093087175,-0.015755549765693853,-0.006146739639265761,0.026874173949299,-0.013032818192596624,-0.018398801401282326,-0.014430831682181868,-0.012462164352224091,-0.006335354828109719,0.06273989587810383,-0.01961242463492049,-0.014420958103397531,-0.01625078045223216,0.0638305929692826
2015-10-01,-0.014075602333292093,0.06518200311418412,-0.017050938515928152,0.0005966765231901295,-0.006737797142062727,-0.009922400069049642,0.016523945085779607,-0.01547495940003344,0.01752535251055447,-0.004279805505186403,-0.0074564170089521115,-0.014985575993864863,-0.017926859891478644,-0.016395466252294863,-0.013212963210960778,0.0538643326670521,-0.014842244232165616,-0.014696547374162306,0.053089076671316515,-0.014810828091086225,0.06162868308015834,0.05656850778211818,-0.004232109552231902,-0.009723765970433824,-0.01746936075279675,0.02185728456004896,-0.01544922074771127,-0.016068803904716572,-0.013550011274850508,-0.006883276481411555,-0.008588748095014066,-0.012804172112473096,-0.015623827267092456,-0.015891181863753302,-0.026711323283251317,-0.01882600481112027,-0.015703469901070556,-0.00714593092306456,0.025401041149642853,-0.011077739165630667,-0.01708949169203311,-0.01453756332414279,-0.013751627408067303,-0.008054963750650035,0.06311563140498753,-0.018612744298935613,-0.015100063487824791,-0.015236194911205855,0.06464746545096721
2015-11-02,-0.0156469881207395,0.06510000165027811,-0.01712554377770303,0.00027704172821916396,-0.0049310873042935225,-0.010102135431515797,0.016333353852740953,-0.013737594528684217,0.0188426669463732,-0.006502845410199131,-0.005976749401441025,-0.015084348025022096,-0.019764006648806322,-0.016691190736612006,-0.012896970608391595,0.05511548922237097,-0.014370086515977803,-0.014374148999479648,0.053665229531738294,-0.014859645302546562,0.061908693303707005,0.05683919543791189,-0.004811781649148375,-0.009811630852859344,-0.017618021146504067,0.019703315454244013,-0.01563062791584701,-0.016386638278981985,-0.013281125811319214,-0.0052142661220990465,-0.008064049952883337,-0.012834743513285554,-0.014196315024434778,-0.013217788234817878,-0.029235249798501128,-0.017954327176941867,-0.0161281436698602,-0.0075728683970898636,0.02433862873750783,-0.01161648958137298,-0.016944492276060975,-0.01450940558206785,-0.014174277060124366,-0.0074755796050833545,0.0631750974420321,-0.02080445085058517,-0.01525061773438591,-0.0152037689543336,0.06470128669287649
