,BKLN,BND,DIA,DVY,EEM,EFA,EMB,FXI,GLD,HYG,IEMG,IVV,IWM,MDY,MTUM,MUB,QQQ,QUAL,SHY,SPY,TIP,TLT,USMV,VEA,VLUE,VNQ,VTI,VTV,VUG,VWO,VXUS,VYM,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,EWG,EWJ,EWU,IEF,IJR,IWD,IWF,LQD
2015-02-02,0.6542524062059578,-0.43789162228548484,0.05647146094470073,-0.2981161180172881,0.044919940027863745,-0.011549701549799698,-0.026554107529059845,0.049252940440839284,0.07683600386251126,0.12267474768533833,-0.02611751432934728,-0.09837224317884029,-0.056470078943251734,0.07635449100299868,0.03907984702099422,0.40149976004672944,-0.10170924917075767,0.06443663132777402,0.45940039878294914,-0.11091019317384268,-0.18487178872897103,0.21137673223575285,-0.18168127906465467,-0.0655036513069667,-0.010057075536697472,-0.013467277549124019,-0.14930326312729097,-0.11749468307766246,-0.14967752823899697,-0.03515535151117068,-0.12611372413161975,-0.11548196717196742,-0.016873825818841347,0.07741750037874773,0.22075703281013576,0.15077432179832045,0.22328656436015004,0.2092747769752148,0.1291193222255923,0.12258142731791201,0.12388265104264269,0.05977985517460104,0.06177043100157521,0.016797922390363082,0.2543360641891436,0.11269232686846163,-0.07988795773794083,-0.0994417701027221,-0.5063235848349714
2015-03-02,0.6528895952620428,-0.3794917184065314,0.06181425670760039,-0.2575486191666204,0.0674350472708236,-0.013808327805936457,-0.015276105852532246,0.05272276664945485,0.08095795625345856,0.1315424591652473,-0.026003676748768474,-0.10845529125977967,-0.04215951473558682,0.07255175533160935,0.016891337216036403,0.4363349432815225,-0.10019181108772525,0.03462934112205975,0.36241193754259826,-0.111224285403405,-0.14951347472898652,0.19497852736009616,-0.22202346810748882,-0.06853864519183145,0.0011195387366260635,-0.010256100350778938,-0.14025426208637135,-0.09892997496647604,-0.16756688252911028,-0.062373937643125384,-0.13488347331582243,-0.11969070321207405,-0.02032870756330832,0.08054093496205948,0.24265924656293097,0.15878041231303183,0.24588319742717482,0.20291185655064128,0.10550396865110462,0.13760026174204976,0.133802129074267,0.048713770602878875,0.06492524255409483,0.021531815359794784,0.23336451281513104,0.09280361793151858,-0.10814588063023753,-0.06892125694296913,-0.5097143107103876
2015-04-01,0.7481281864901526,-0.390975796244849,0.021916668348814908,-0.27502630929681665,0.09020711024871995,-0.03080286747290118,-0.015482714012925506,0.04099705109888477,0.08626251684705098,0.1300772915583751,0.02961717524724433,-0.14545750733261426,-0.036500435738990616,0.06724811300618537,0.023025547967464085,0.3784698803638656,-0.06537164504208777,0.03490017998057603,0.44945207749522226,-0.16029446020080543,-0.10651953759919357,0.20467136655088145,-0.28534241744972016,-0.09138205243071172,-0.010852802077181001,-0.0053422382919729745,-0.17437284922608162,-0.10487431467252877,-0.11716435377370991,-0.11108348859373905,-0.15172024528115322,-0.10252807025706837,0.005274063131560204,0.09960599221379403,0.3186820748594527,0.1723744590116112,0.27236537362160945,0.22446069841930708,0.133825637885168,0.14053236421839146,0.15685890903174107,0.06605491599480975,0.07777742577406267,0.021813638777958284,0.14245478302525091,0.07434616181088055,-0.1875453441006944,-0.11523901412620757,-0.5275211997570822
2015-05-01,0.7446348845048376,-0.3912730386397861,0.007074688356144585,-0.25168120829868873,0.09190688470600496,-0.028136058012795853,-0.03395934270603871,0.03464818691909623,0.0866607020347979,0.13563415947702057,0.025716193726777636,-0.20049485916050794,-0.03498446563628004,0.08441040122858047,-0.007112019887269833,0.31891622446386525,-0.08722004122388083,0.021554129254183887,0.4684160542561272,-0.1850042874444064,-0.05947160606664059,0.20109203854291932,-0.32078046790774506,-0.09928412817698685,0.006046515583740998,-0.001116520949806051,-0.2177659287377869,-0.09943181642244472,-0.13996249642021472,-0.10334168806644821,-0.15081885838398934,-0.06463741977525046,0.004379758143136359,0.11399405834529742,0.3408916452075475,0.18785486391181377,0.30749446628894367,0.23865618229023336,0.128601115764407,0.18821037499219911,0.20302875300344347,0.06909980704942434,0.08165793800680524,0.01615889211592802,0.1201721915793559,0.05748638600386077,-0.202166793633821,-0.1190092261591838,-0.4867452240465204
2015-06-01,0.7483647001370831,-0.4110510188457549,0.02029601574691528,-0.20237772615002061,0.06830316746335639,-0.009489815479810464,-0.03089920666724672,0.028306139373297467,0.09433924228725137,0.11465087022674254,0.038836821556185286,-0.24529628154124758,-0.029712251726500747,0.08912526459482373,-0.007846206871585678,0.3109063674153617,-0.09994626172233302,0.03604435934041287,0.49481874731324926,-0.2131248689400026,-0.06003611306814694,0.2065352646630072,-0.3366185709017589,-0.09769753670290181,-0.006357469792819608,-0.012998287198559664,-0.21884911124651613,-0.12520567258454243,-0.14191429440655864,-0.07605197532731724,-0.16588534458584409,-0.02151099606863104,0.008970556401141744,0.11646741644268249,0.35815138941172037,0.18951842215096795,0.31146297304835446,0.24020531134167386,0.10923724670216488,0.2086502837703962,0.22629436913297243,0.06234901916929259,0.07670286259466164,0.02141106416423543,0.12507737558705498,0.06158600421258318,-0.23257796470114023,-0.1392481873360513,-0.48191609238229793
2015-07-01,0.766810835718502,-0.4418840697148723,0.01323649370174333,-0.22570925869516004,0.058800828786907684,0.004150579229713313,-0.03844054374560266,0.03032010452011695,0.10149226683823168,0.09038327163370179,0.05745630663764156,-0.27129207876452016,-0.03418124607505923,0.10005417957801309,-0.014970029991321871,0.3060094655636557,-0.11435326799335335,0.046348451874395985,0.5010424129521852,-0.19284637483526404,-0.06746226037547658,0.21144636322181015,-0.3817346996746908,-0.08757344016519311,-0.010400699469178938,-0.017655104659823766,-0.2161942043082055,-0.12248567074642847,-0.14200289200388178,-0.08582821916296665,-0.1850122303059418,-0.017220521295326335,0.012919968326511383,0.11666363817278134,0.3694059431415975,0.19289827459862105,0.30779670144720694,0.2488351022841118,0.12071060559836046,0.21735535933066974,0.24534544532069105,0.05812609008160797,0.07928710997849078,0.022373067302153833,0.14837289989085964,0.07959172356148939,-0.23507826925522168,-0.13660758587045171,-0.46830082218383084
2015-08-03,0.7712089451254234,-0.31147097514601324,0.010926858221094867,-0.23868703563358473,0.02062586574716699,0.00036170068925359583,-0.026148378825168597,0.02450781588843328,0.09462187726863114,0.09495176930585428,0.09470530283391863,-0.29938216471562046,-0.06484391779575634,0.12076761939390884,0.00691997733979048,0.32514900145024966,-0.12074358342835324,0.06689173520070928,0.41182823720493605,-0.23304356798428763,-0.11987539403552475,0.22508967168702734,-0.4123379314133634,-0.07289244123880297,-0.007931612247976833,-0.025180827206844,-0.23937340925445222,-0.10976522780342804,-0.1538696078111077,-0.08956581955580897,-0.13270072639801161,-0.03184280047517412,0.013040561496824149,0.12740133838880266,0.3794587027615797,0.21241023592094366,0.33826217081419635,0.2829902995997043,0.11526139238155646,0.23056136372024194,0.24104626323843759,0.04939878002361568,0.07397512840345748,0.005006129164006478,0.1605517431367811,0.10821050250417623,-0.23122885079901226,-0.17271127148868895,-0.5125354456537418
2015-09-01,0.7050528768331228,-0.3065733277595754,0.02454192477411027,-0.26601445023126413,0.03913762957656964,-0.024813479693094994,-0.03415781863045844,0.024834778937667414,0.10920422100292712,0.1477410062963879,0.08295094747137555,-0.3165443911353426,-0.03402837148955978,0.07777142971236731,-0.03512799699511507,0.13145228746561569,-0.09951536572674238,0.10183876177782276,0.6764431498579375,-0.2521352166364607,-0.20264533116011538,0.27588731127936245,-0.3938051306266394,-0.08810449814173364,-0.014340928505002785,-0.03462671717441463,-0.24135920530474744,-0.09013411245453494,-0.1664243554365439,-0.10336703725635905,-0.11247516751945276,-0.08147123458702504,0.018404187968917206,0.13756441595002147,0.37958584532490997,0.21702867958728028,0.36327015192847295,0.30064767384705526,0.13293643138922495,0.2546223414409413,0.23687480852683968,0.06840174635471186,0.07204602470419308,0.004670860449606069,0.26964185205349805,0.11199155402714893,-0.23061952519396872,-0.17921541806122943,-0.657043818818707
2015-10-01,0.7286053666017525,-0.2872054499905107,0.04938845975987273,-0.28673496635595225,0.057068313232093104,-0.045833494217372324,-0.02308757631918878,0.02371470687991818,0.11238136848501508,0.09499836190777572,0.12756640097431587,-0.3150585277020629,-0.014892951383727475,0.07543004027067822,-0.030565634004496186,0.26013461146229944,-0.09422115282799114,0.051925404040505205,0.5999789739359556,-0.25447265674572195,-0.3118950866195397,0.30215418596810395,-0.42409533322372833,-0.08448901954261183,-0.019769436100032508,-0.044009799555662955,-0.2455984235924195,-0.10758235165428874,-0.1851116246594667,-0.16681576594264233,-0.09942919667339328,-0.08109716637463991,0.03459410485431045,0.15799912305775735,0.4075215768328878,0.23247016981726037,0.3897434660618114,0.3051915146529167,0.13907992354206877,0.2862665645708706,0.26540483800594034,0.06127266011264382,0.0695186611472864,0.03414360200182181,0.3039391472901739,0.08080311172864148,-0.2683041030191618,-0.18916052565559555,-0.6718644150344704
2015-11-02,0.7301039050552423,-0.18116938790161913,0.03944026247540823,-0.25656992402316214,0.07668262556015688,-0.03515061814333832,-0.052173419335853,0.023240113295282264,0.09911556403417736,0.13787197024188105,0.10787146373230903,-0.30506103948158153,-0.03125019619701662,0.004909733693212656,-0.04788732537102614,0.12109474428007133,-0.08854629848807463,0.009426099949301598,0.5596475530882099,-0.26629672997757725,-0.2968409640039836,0.27922213281222413,-0.36283315300541097,-0.08128047880956202,-0.0033991047003713304,-0.04478273590026271,-0.2593536506609384,-0.12591136336720551,-0.18801404954364723,-0.1689432821232137,-0.11198450717465966,-0.03935952250095655,0.03323265927490442,0.16459794894748495,0.42044765441122744,0.22974816678297402,0.3790224518770532,0.31715293004550565,0.1249857735071963,0.30696227327029685,0.2706922836077946,0.05564108391865557,0.07554746528310814,0.03358958568652297,0.2890558166725741,0.10264082037777124,-0.3072098764723867,-0.15647879066112666,-0.5814466640375722
